Update log for update_gen1_stats.py
Note: entries list species and abilities replacement performed.

SPECIES_BULBASAUR: abilities changed from '{ABILITY_OVERGROW, ABILITY_NONE, ABILITY_CHLOROPHYLL}' to '{ABILITY_OVERGROW, ABILITY_NONE, ABILITY_CHLOROPHYLL}'
SPECIES_IVYSAUR: abilities changed from '{ABILITY_OVERGROW, ABILITY_NONE, ABILITY_CHLOROPHYLL}' to '{ABILITY_OVERGROW, ABILITY_NONE, ABILITY_CHLOROPHYLL}'
SPECIES_VENUSAUR: abilities changed from '{ABILITY_OVERGROW, ABILITY_NONE, ABILITY_CHLOROPHYLL}' to '{ABILITY_OVERGROW, ABILITY_NONE, ABILITY_CHLOROPHYLL}'
SPECIES_CHARMANDER: abilities changed from '{ABILITY_BLAZE, ABILITY_NONE, ABILITY_SOLAR_POWER}' to '{ABILITY_BLAZE, ABILITY_NONE, ABILITY_SOLARPOWER}'
SPECIES_CHARMELEON: abilities changed from '{ABILITY_BLAZE, ABILITY_NONE, ABILITY_SOLAR_POWER}' to '{ABILITY_BLAZE, ABILITY_NONE, ABILITY_SOLARPOWER}'
SPECIES_CHARIZARD: abilities changed from '{ABILITY_BLAZE, ABILITY_NONE, ABILITY_SOLAR_POWER}' to '{ABILITY_BLAZE, ABILITY_NONE, ABILITY_SOLARPOWER}'
SPECIES_SQUIRTLE: abilities changed from '{ABILITY_TORRENT, ABILITY_NONE, ABILITY_RAIN_DISH}' to '{ABILITY_TORRENT, ABILITY_NONE, ABILITY_RAINDISH}'
SPECIES_WARTORTLE: abilities changed from '{ABILITY_TORRENT, ABILITY_NONE, ABILITY_RAIN_DISH}' to '{ABILITY_TORRENT, ABILITY_NONE, ABILITY_RAINDISH}'
SPECIES_BLASTOISE: abilities changed from '{ABILITY_TORRENT, ABILITY_NONE, ABILITY_RAIN_DISH}' to '{ABILITY_TORRENT, ABILITY_NONE, ABILITY_RAINDISH}'
SPECIES_CATERPIE: abilities changed from '{ABILITY_SHIELD_DUST, ABILITY_NONE, ABILITY_RUN_AWAY}' to '{ABILITY_SHIELDDUST, ABILITY_NONE, ABILITY_RUNAWAY}'
SPECIES_METAPOD: abilities changed from '{ABILITY_SHED_SKIN, ABILITY_NONE, ABILITY_NONE}' to '{ABILITY_SHEDSKIN, ABILITY_NONE, ABILITY_SHEDSKIN}'
SPECIES_BUTTERFREE: abilities changed from '{ABILITY_COMPOUND_EYES, ABILITY_NONE, ABILITY_TINTED_LENS}' to '{ABILITY_COMPOUNDEYES, ABILITY_NONE, ABILITY_TINTEDLENS}'
SPECIES_WEEDLE: abilities changed from '{ABILITY_SHIELD_DUST, ABILITY_NONE, ABILITY_RUN_AWAY}' to '{ABILITY_SHIELDDUST, ABILITY_NONE, ABILITY_RUNAWAY}'
SPECIES_KAKUNA: abilities changed from '{ABILITY_SHED_SKIN, ABILITY_NONE, ABILITY_NONE}' to '{ABILITY_SHEDSKIN, ABILITY_NONE, ABILITY_SHEDSKIN}'
SPECIES_BEEDRILL: abilities changed from '{ABILITY_SWARM, ABILITY_NONE, ABILITY_SNIPER}' to '{ABILITY_SWARM, ABILITY_NONE, ABILITY_SNIPER}'
SPECIES_PIDGEY: abilities changed from '{ABILITY_KEEN_EYE, ABILITY_TANGLED_FEET, ABILITY_BIG_PECKS}' to '{ABILITY_FRISK, ABILITY_NONE, ABILITY_NOGUARD}'
SPECIES_PIDGEOTTO: abilities changed from '{ABILITY_KEEN_EYE, ABILITY_TANGLED_FEET, ABILITY_BIG_PECKS}' to '{ABILITY_FRISK, ABILITY_NONE, ABILITY_NOGUARD}'
SPECIES_PIDGEOT: abilities changed from '{ABILITY_KEEN_EYE, ABILITY_TANGLED_FEET, ABILITY_BIG_PECKS}' to '{ABILITY_FRISK, ABILITY_NONE, ABILITY_NOGUARD}'
SPECIES_RATTATA: abilities changed from '{ABILITY_RUN_AWAY, ABILITY_GUTS, ABILITY_HUSTLE}' to '{ABILITY_RUNAWAY, ABILITY_GUTS, ABILITY_HUSTLE}'
SPECIES_RATICATE: abilities changed from '{ABILITY_RUN_AWAY, ABILITY_GUTS, ABILITY_HUSTLE}' to '{ABILITY_RUNAWAY, ABILITY_GUTS, ABILITY_HUSTLE}'
SPECIES_SPEAROW: abilities changed from '{ABILITY_KEEN_EYE, ABILITY_NONE, ABILITY_SNIPER}' to '{ABILITY_FRISK, ABILITY_TECHNICIAN, ABILITY_SNIPER}'
SPECIES_FEAROW: abilities changed from '{ABILITY_KEEN_EYE, ABILITY_NONE, ABILITY_SNIPER}' to '{ABILITY_FRISK, ABILITY_TECHNICIAN, ABILITY_SNIPER}'
SPECIES_EKANS: abilities changed from '{ABILITY_INTIMIDATE, ABILITY_SHED_SKIN, ABILITY_UNNERVE}' to '{ABILITY_INTIMIDATE, ABILITY_SHEDSKIN, ABILITY_CORROSION}'
